School Name,State Name [Public School] Latest available year,Agency Name [Public School] 2016-17,Agency ID - NCES Assigned [Public School] Latest available year,American Indian/Alaska Native Students [Public School] 2016-17,Asian or Asian/Pacific Islander Students [Public School] 2016-17,Hispanic Students [Public School] 2016-17,Black Students [Public School] 2016-17,White Students [Public School] 2016-17,Hawaiian Nat./Pacific Isl. Students [Public School] 2016-17,Two or More Races Students [Public School] 2016-17,Total Race/Ethnicity [Public School] 2016-17
ALPHA: CORNERSTONE ACADEMY PREPARATORY,California,Franklin-McKinley Elementary,614370,–,269,161,9,1,–,11,†
ALPHA: JOSE HERNANDEZ,CALIFORNIA,Santa Clara County Office of Education,691035,–,27,407,2,1,–,10,†
ALPINE COUNTY OPPORTUNITY,California,Alpine County Office of Education,691058,2,0,0,0,0,0,0,†
ALPINE COUNTY SECONDARY COMMUNITY DAY,California,Alpine County Unified,602070,0,0,0,0,0,0,0,†
ALPINE ELEMENTARY,California,Keppel Union Elementary,619440,4,–,383,17,59,–,6,†
ALPINE ELEMENTARY,California,Alpine Union Elementary,602100,21,4,62,3,160,2,8,†
ALPINE VISTA,California,Tulare City,639870,2,33,762,31,370,4,11,†
ALPS VIEW HIGH (CONTINUATION),California,Trinity Alps Unified,601331,1,0,0,0,1,0,1,†
ALTA CALIFORNIA ELEMENTARY,California,Los Angeles Unified,622710,–,14,732,7,10,–,1,†
ALTA ELEMENTARY,California,Kings Canyon Joint Unified,619700,–,3,337,–,14,–,4,†
ALTA HEIGHTS ELEMENTARY,California,Napa Valley Unified,626640,1,3,148,1,187,–,24,†
ALTA LOMA ELEMENTARY,California,Los Angeles Unified,622710,–,2,465,55,20,–,3,†
ALTA LOMA ELEMENTARY,California,Alta Loma Elementary,602160,3,24,289,38,143,4,1,†
ALTA LOMA HIGH,California,Chaffey Joint Union High,608160,15,121,1358,183,794,17,43,†
ALTA LOMA JUNIOR HIGH,California,Alta Loma Elementary,602160,1,40,267,30,335,4,4,†
ALTA LOMA MIDDLE,California,South San Francisco Unified,637530,1,262,275,9,69,19,52,†
ALTA MESA ELEMENTARY,California,Enterprise Elementary,612810,5,20,61,4,146,–,47,†
ALTA MURRIETA ELEMENTARY,California,Murrieta Valley Unified,600029,3,62,352,21,306,5,61,†
ALTA SIERRA ELEMENTARY,California,Pleasant Ridge Union Elementary,630930,1,3,15,–,275,1,9,†
ALTA SIERRA INTERMEDIATE,California,Clovis Unified,609030,5,178,431,26,711,2,53,†
ALTA VISTA ACADEMY,California,Sweetwater Union High,638640,1,1,18,5,13,1,2,†
ALTA VISTA ALTERNATIVE HIGH,California,Santa Barbara Unified,601414,1,4,62,2,70,1,2,†
ALTA VISTA ALTERNATIVE JUNIOR HIGH,California,Santa Barbara Unified,601414,0,0,1,0,0,0,0,†
ALTA VISTA COMMUNITY CHARTER,California,Auburn Union Elementary,603480,1,1,13,1,111,1,10,†
ALTA VISTA ELEMENTARY,California,Alta Vista Elementary,602220,4,5,449,–,76,19,2,†
ALTA VISTA ELEMENTARY,California,Union Elementary,640320,2,150,56,2,362,2,68,†
ALTA VISTA ELEMENTARY,California,Redondo Beach Unified,600032,–,81,141,21,342,–,97,†
ALTA VISTA HIGH,California,Mountain View-Los Altos Union High,626310,–,3,57,4,14,3,1,†
ALTA VISTA HIGH (CONTINUATION),California,Vista Unified,641190,2,0,141,2,11,2,2,†
ALTA VISTA PUBLIC,California,Adelanto Elementary,601710,3,10,901,272,295,7,90,†
ALTA VISTA SOUTH PUBLIC CHARTER,CALIFORNIA,Helendale Elementary,616860,5,5,438,51,67,4,22,†
ALTA-DUTCH FLAT ELEMENTARY,California,Alta-Dutch Flat Union Elementary,602250,1,1,6,–,91,–,5,†
ALTADENA ELEMENTARY,California,Pasadena Unified,629940,2,2,158,72,12,–,10,†
ALTAMONT CREEK ELEMENTARY,California,Livermore Valley Joint Unified,622110,3,74,122,9,291,2,50,†
ALTAMONT ELEMENTARY,CALIFORNIA,Lammersville Joint Unified,601410,4,353,146,37,156,9,81,†
ALTERNATIVE COOPERATIVE EDUCATION CHARTER,California,Vacaville Unified,640590,–,–,25,4,84,–,11,†
ALTERNATIVE EDUCATION-SAN JOAQUIN HIGH,California,Irvine Unified,684500,–,16,6,2,27,1,7,†
ALTERNATIVE FAMILY EDUCATION,California,Santa Cruz City High,635600,–,5,8,1,139,–,8,†
ALTERNATIVE LEARNING ACADEMY AT CONLEY-CARABALLO HIGH,California,New Haven Unified,626910,–,1,5,3,3,–,–,†
ALTERNATIVE LEARNING CENTER,California,San Bernardino City Unified,634170,0,0,20,4,5,0,0,†
ALTERNATIVE OPPORTUNITY PROGRAMS,California,Los Angeles County Office of Education,691078,0,0,47,5,1,0,0,†
ALTERNATIVES IN ACTION,California,Alameda Unified,601770,1,–,159,10,1,–,–,†
ALTIMIRA MIDDLE,California,Sonoma Valley Unified,637200,4,15,358,1,139,–,3,†
ALTURAS ELEMENTARY,California,Modoc Joint Unified,625190,29,8,54,5,279,–,16,†
ALVARADO ELEMENTARY,California,Long Beach Unified,622500,2,131,194,37,21,6,21,†
ALVARADO ELEMENTARY,California,New Haven Unified,626910,3,461,198,37,42,12,47,†
ALVARADO ELEMENTARY,California,San Francisco Unified,634410,2,16,235,10,198,1,56,†
ALVARADO INTERMEDIATE,California,Rowland Unified,633750,–,342,353,8,28,3,15,†
ALVIEW ELEMENTARY,California,Alview-Dairyland Union Elementary,602360,1,5,98,–,73,–,–,†
ALVIN ELEMENTARY,California,Santa Maria-Bonita,605580,1,9,981,4,30,–,–,†
ALVIN S. HATCH ELEMENTARY,California,Cabrillo Unified,606780,–,14,345,–,238,–,25,†
ALVINA ELEMENTARY CHARTER,California,Alvina Elementary,602370,2,1,154,–,24,1,–,†
ALVORD ALTERNATIVE CONTINUATION HIGH,California,Alvord Unified,602430,0,0,113,3,5,0,0,†
ALVORD CONTINUATION HIGH,California,Alvord Unified,602430,0,1,105,6,12,3,2,†
AMADOR COUNTY ROP,California,Amador County ROP,600089,0,0,0,0,0,0,0,†
AMADOR COUNTY SPECIAL EDUCATION,California,Amador County Office of Education,691001,8,–,43,–,88,–,13,†
AMADOR HIGH,California,Amador County Unified,602450,14,8,117,1,476,1,51,†
AMADOR VALLEY HIGH,California,Pleasanton Unified,600020,7,985,252,40,1288,5,71,†
AMANECER PRIMARY CENTER,California,Los Angeles Unified,622710,1,–,193,–,3,–,–,†
AMARGOSA CREEK MIDDLE,California,Lancaster Elementary,620880,5,43,492,260,172,2,28,†
AMBASSADOR PHILLIP V. SANCHEZ PUBLIC CHARTER,California,Raisin City Elementary,631680,4,17,311,43,32,0,14,†
AMBASSADOR SCHOOL-GLOBAL EDUCATION,California,Los Angeles Unified,622710,–,69,257,8,32,1,8,†
AMBASSADOR-GLOBAL LEADERSHIP,California,Los Angeles Unified,622710,2,114,485,14,11,1,3,†
AMBLER AVENUE ELEMENTARY,California,Los Angeles Unified,622710,–,8,84,446,5,1,2,†
AMELIA EARHART CONTINUATION,California,Los Angeles Unified,622710,–,–,75,3,3,–,–,†
AMELIA EARHART ELEMENTARY,California,Alameda Unified,601770,1,243,86,18,152,1,109,†
AMELIA EARHART ELEMENTARY SCHOOL OF INTERNATIONAL STUDIES,California,Desert Sands Unified,611110,5,49,537,7,304,1,50,†
AMELIA EARHART MIDDLE,California,Riverside Unified,633150,2,89,363,88,386,8,87,†
AMERICA'S FINEST CHARTER,California,San Diego Unified,634320,–,23,241,109,15,–,2,†
AMERICAN CANYON HIGH,California,Napa Valley Unified,626640,3,531,558,147,193,15,98,†
AMERICAN CANYON MIDDLE,California,Napa Valley Unified,626640,5,340,406,80,139,9,71,†
AMERICAN ELEMENTARY,California,Rosedale Union Elementary,633480,–,56,268,12,341,–,70,†
AMERICAN HIGH,California,Fremont Unified,614400,5,1497,218,86,313,18,63,†
AMERICAN INDIAN PUBLIC CHARTER,California,Oakland Unified,628050,0,79,23,33,8,1,0,†
AMERICAN INDIAN PUBLIC CHARTER II,California,Oakland Unified,628050,3,392,73,155,13,–,8,†
AMERICAN INDIAN PUBLIC HIGH,California,Oakland Unified,628050,–,154,46,48,8,–,4,†
AMERICAN LAKES,California,Natomas Unified,600036,5,30,191,134,41,8,42,†
AMERICAN LEGION HIGH (CONTINUATION),California,Sacramento City Unified,633840,2,12,146,80,15,8,17,†
AMERICAN RIVER CHARTER,California,Black Oak Mine Unified,605240,3,2,13,2,156,–,1,†
AMERICAN UNION ELEMENTARY,California,Washington Unified,601415,–,13,244,5,65,–,3,†
AMESTI ELEMENTARY,California,Pajaro Valley Unified,629490,1,9,588,1,14,–,–,†
AMESTOY ELEMENTARY,California,Los Angeles Unified,622710,–,48,563,134,14,5,24,†
AMISTAD HIGH (CONTINUATION),California,Desert Sands Unified,611110,1,0,204,4,14,0,4,†
AMY B. SEIBERT ELEMENTARY,California,Panama-Buena Vista Union,606390,2,20,481,105,92,3,14,†
ANACAPA MIDDLE,California,Ventura Unified,640980,1,33,571,8,263,4,42,†
ANAHEIM HIGH,California,Anaheim Union High,602630,6,72,2902,21,67,5,4,†
ANAHEIM HILLS ELEMENTARY,California,Orange Unified,628650,1,119,78,11,232,–,53,†
ANAHUACALMECAC INTERNATIONAL UNIV PREP OF N. AMERICA,CALIFORNIA,SBE - Anahuacalmecac International Univ Prep of N. America,601430,2,–,363,2,1,–,6,†
ANALY HIGH,California,West Sonoma County Union High,602670,7,51,219,10,871,2,40,†
ANATOLA AVENUE ELEMENTARY,California,Los Angeles Unified,622710,1,28,383,15,40,1,6,†
ANAVERDE HILLS,California,Westside Union Elementary,642120,4,37,372,117,106,–,39,†
ANDASOL AVENUE ELEMENTARY,California,Los Angeles Unified,622710,2,69,226,18,106,–,11,†
ANDERSON,California,San Bernardino City Unified,634170,0,5,69,14,13,1,4,†
ANDERSON (ALEX) ELEMENTARY,California,Oak Grove Elementary,627810,–,147,282,11,70,10,33,†
ANDERSON (LINFORD L.) ELEMENTARY,California,Dixon Unified,611280,–,5,408,5,76,1,14,†
ANDERSON COMMUNITY DAY,California,Anderson Union High,602700,1,–,1,1,8,–,–,†
ANDERSON ELEMENTARY,California,Westminster,642150,–,278,237,1,24,5,3,†
ANDERSON ELEMENTARY,California,Compton Unified,609620,–,1,477,27,2,4,15,†
ANDERSON HEIGHTS ELEMENTARY,California,Cascade Union Elementary,607680,18,24,79,9,197,4,12,†
ANDERSON HIGH,California,Anderson Union High,602700,41,28,117,18,349,4,6,†
ANDERSON MIDDLE,California,Cascade Union Elementary,607680,17,25,74,7,209,2,7,†
ANDERSON NEW TECHNOLOGY HIGH,California,Anderson Union High,602700,15,3,17,4,135,–,8,†
ANDERSON VALLEY ELEMENTARY,California,Anderson Valley Unified,602730,2,1,213,3,57,–,–,†
ANDERSON VALLEY JUNIOR-SENIOR HIGH,California,Anderson Valley Unified,602730,2,–,161,2,50,–,2,†
ANDERSON W. CLARK MAGNET HIGH,California,Glendale Unified,615240,1,136,84,1,875,–,8,†
ANDRES AND MARIA CARDENAS ELEMENTARY,California,Los Angeles Unified,622710,–,12,476,12,19,1,6,†
ANDRES DUARTE ARTS ACADEMY (PK-8),California,Duarte Unified,611520,–,29,242,24,22,2,14,†
ANDREW CARNEGIE MIDDLE,California,Los Angeles Unified,622710,–,148,458,207,29,47,19,†
ANDREW CARNEGIE MIDDLE,California,San Juan Unified,634620,5,26,155,34,771,5,36,†
ANDREW JACKSON ELEMENTARY,California,Selma Unified,636270,1,34,680,3,36,1,2,†
ANDREW JACKSON ELEMENTARY,California,Desert Sands Unified,611110,1,5,601,8,17,1,28,†
ANDREW JACKSON ELEMENTARY,California,Santa Ana Unified,635310,4,35,856,1,9,2,4,†
ANDREW N. CHRISTENSEN MIDDLE,California,Livermore Valley Joint Unified,622110,5,76,160,13,320,3,48,†
ANDREW P. HILL HIGH,California,East Side Union High,611820,4,734,1061,45,26,4,9,†
ANDROS KARPEROS,California,Yuba City Unified,643470,7,527,454,16,235,2,47,†
ANGEL'S GATE (CONTINUATION),California,Los Angeles Unified,622710,1,2,63,11,13,–,–,†
ANGELES MESA ELEMENTARY,California,Los Angeles Unified,622710,–,–,218,151,15,–,10,†
ANGELO RODRIGUEZ HIGH,California,Fairfield-Suisun Unified,613360,11,414,435,295,439,17,163,†
ANGIER ELEMENTARY,California,San Diego Unified,634320,2,50,134,152,114,11,78,†
ANIMO COLLEGE PREPARATORY ACADEMY,California,Los Angeles Unified,622710,4,–,468,57,–,–,8,†
ANIMO ELLEN OCHOA CHARTER MIDDLE,California,Los Angeles Unified,622710,1,–,425,1,2,–,1,†
ANIMO FLORENCE-FIRESTONE CHARTER MIDDLE,CALIFORNIA,Los Angeles Unified,622710,1,0,96,7,0,0,1,†
ANIMO INGLEWOOD CHARTER HIGH,California,Inglewood Unified,618390,–,–,571,69,–,–,6,†
ANIMO JACKIE ROBINSON HIGH,California,Los Angeles Unified,622710,–,–,593,14,–,–,11,†
ANIMO JAMES B. TAYLOR CHARTER MIDDLE,California,Los Angeles Unified,622710,2,–,409,48,1,–,3,†
ANIMO JEFFERSON CHARTER MIDDLE,California,Los Angeles Unified,622710,–,–,547,2,–,–,2,†
ANIMO LEADERSHIP HIGH,California,Lennox,621420,–,3,635,8,2,–,1,†
ANIMO MAE JEMISON CHARTER MIDDLE,CALIFORNIA,Los Angeles Unified,622710,2,–,380,66,–,–,18,†
ANIMO PAT BROWN,California,Los Angeles Unified,622710,–,–,605,6,–,–,1,†
ANIMO PHILLIS WHEATLEY CHARTER MIDDLE,California,Los Angeles Unified,622710,2,–,331,249,1,3,7,†
ANIMO RALPH BUNCHE CHARTER HIGH,California,Los Angeles Unified,622710,1,–,622,1,–,–,3,†
ANIMO SOUTH LOS ANGELES CHARTER,California,Los Angeles Unified,622710,1,–,410,132,1,–,47,†
ANIMO VENICE CHARTER HIGH,California,Los Angeles Unified,622710,–,–,555,14,8,–,25,†
ANIMO WATTS COLLEGE PREPARATORY ACADEMY,California,Los Angeles Unified,622710,1,2,518,48,–,–,14,†
ANIMO WESTERN CHARTER MIDDLE,California,Los Angeles Unified,622710,2,–,474,142,1,1,8,†
ANIMO WESTSIDE CHARTER MIDDLE,California,Los Angeles Unified,622710,5,4,238,117,13,2,54,†
ANN B. LEAVENWORTH,California,Fresno Unified,614550,3,94,679,23,41,1,5,†
ANN SOBRATO HIGH,California,Morgan Hill Unified,625830,8,250,588,44,541,7,46,†
ANN SOLDO ELEMENTARY,California,Pajaro Valley Unified,629490,2,11,520,–,91,1,2,†
ANN STREET ELEMENTARY,California,Los Angeles Unified,622710,0,1,112,12,0,0,1,†
ANNA A. BORBA FUNDAMENTAL ELEMENTARY,California,Chino Valley Unified,608460,–,9,504,5,22,–,3,†
ANNA HAUSE ELEMENTARY,California,Beaumont Unified,604290,15,41,476,60,273,3,27,†
ANNA KIRCHGATER ELEMENTARY,California,Elk Grove Unified,612330,7,333,224,114,49,17,52,†
ANNA KYLE ELEMENTARY,California,Fairfield-Suisun Unified,613360,–,51,579,70,44,1,33,†
ANNA M. GLAZIER ELEMENTARY,California,Norwalk-La Mirada Unified,627690,1,14,490,14,16,1,8,†
ANNA MCKENNEY INTERMEDIATE,California,Marysville Joint Unified,624090,15,38,202,27,243,5,18,†
ANNA YATES ELEMENTARY,California,Emery Unified,612630,9,56,105,261,59,7,11,†
ANNALEE AVENUE ELEMENTARY,California,Los Angeles Unified,622710,–,3,29,183,2,2,3,†
ANNANDALE ELEMENTARY,California,Los Angeles Unified,622710,2,6,193,2,9,0,1,†
ANNE DARLING ELEMENTARY,California,San Jose Unified,634590,2,49,331,4,24,–,5,†
ANNIE E. CHENEY KINDERGARTEN,California,Coalinga-Huron Unified,609120,1,1,113,3,11,–,10,†
ANNIE PENNYCOOK ELEMENTARY,California,Vallejo City Unified,640740,7,101,173,175,70,26,36,†
ANNIE R. MITCHELL,California,Visalia Unified,641160,–,18,545,11,137,3,33,†
ANSEL ADAMS,California,Lodi Unified,622230,6,407,191,63,31,8,28,†
ANSGAR LARSEN ELEMENTARY,California,Hueneme Elementary,617850,–,10,632,3,84,1,4,†
ANTELOPE COMMUNITY DAY,California,Antelope Elementary,602760,0,0,0,0,1,0,0,†
ANTELOPE CREEK ELEMENTARY,California,Rocklin Unified,600013,9,13,91,17,284,2,68,†
ANTELOPE CROSSING MIDDLE,California,Dry Creek Joint Elementary,611490,5,148,188,75,522,11,103,†
ANTELOPE ELEMENTARY,California,Antelope Elementary,602760,7,5,114,4,302,–,14,†
ANTELOPE ELEMENTARY,California,Eastern Sierra Unified,611870,14,6,40,2,80,2,2,†
ANTELOPE ELEMENTARY,California,Keppel Union Elementary,619440,–,3,314,21,22,–,2,†
ANTELOPE HIGH,California,Roseville Joint Union High,633630,9,240,362,157,863,25,169,†
ANTELOPE HILLS ELEMENTARY,California,Murrieta Valley Unified,600029,–,58,273,35,419,2,54,†
ANTELOPE MEADOWS ELEMENTARY,California,Dry Creek Joint Elementary,611490,7,75,207,52,431,5,81,†
ANTELOPE VALLEY HIGH,California,Antelope Valley Union High,602820,7,15,1086,598,103,2,62,†
ANTELOPE VALLEY LEARNING ACADEMY,California,Palmdale Elementary,629580,8,7,798,180,197,–,38,†
ANTELOPE VALLEY ROP,California,Antelope Valley ROP,600112,0,0,0,0,0,0,0,†
ANTHONY C. TRAINA ELEMENTARY,California,Jefferson Elementary,618840,1,195,276,56,171,13,39,†
ANTHONY G. BACICH ELEMENTARY,California,Kentfield Elementary,619380,–,29,78,5,434,–,110,†
ANTHONY SPANGLER ELEMENTARY,California,Milpitas Unified,624500,4,384,120,17,39,4,19,†
ANTHONY W. OCHOA MIDDLE,California,Hayward Unified,616740,3,132,343,47,25,19,14,†
ANTIOCH CHARTER ACADEMY,California,Antioch Unified,602850,–,35,61,20,73,2,5,†
ANTIOCH CHARTER ACADEMY II,California,Antioch Unified,602850,2,14,76,18,75,3,19,†
ANTIOCH HIGH,California,Antioch Unified,602850,8,98,980,443,335,26,57,†
ANTIOCH MIDDLE,California,Antioch Unified,602850,7,27,444,162,57,11,34,†
ANTONIO DEL BUONO ELEMENTARY,California,Gilroy Unified,615180,4,25,437,8,29,2,15,†
ANZA ELEMENTARY,California,Cajon Valley Union,606810,–,7,100,30,393,3,36,†
ANZA ELEMENTARY,California,Torrance Unified,639420,1,232,99,15,200,2,84,†
ANZAR HIGH,California,Aromas/San Juan Unified,691136,1,4,235,3,91,–,5,†
APEX ACADEMY,California,Los Angeles Unified,622710,1,7,359,8,10,1,3,†
APOLLO HIGH,California,East Side Union High,611820,–,8,144,1,–,1,1,†
APOLLO HIGH,California,Simi Valley Unified,636840,1,4,107,1,77,1,2,†
APPERSON STREET ELEMENTARY,California,Los Angeles Unified,622710,1,11,165,9,196,1,23,†
APPLE ACADEMY CHARTER PUBLIC,California,Los Angeles Unified,622710,1,–,129,148,2,1,3,†
APPLE BLOSSOM,California,Twin Hills Union Elementary,640230,4,5,81,1,278,1,57,†
APPLE VALLEY HIGH,California,Apple Valley Unified,600017,15,66,950,186,945,12,27,†
APPLE VALLEY UNIFIED PRESCHOOL SPECIAL EDUCATION,California,Apple Valley Unified,600017,†,†,†,†,†,†,†,†
APPLIED TECHNOLOGY CENTER,California,Montebello Unified,625470,1,10,527,4,27,–,4,†
APRICOT VALLEY ELEMENTARY,California,Patterson Joint Unified,630030,3,58,419,78,123,24,57,†
APRIL LANE ELEMENTARY,California,Yuba City Unified,643470,1,65,256,22,127,5,30,†
APTITUD COMMUNITY ACADEMY AT GOSS,California,Alum Rock Union Elementary,602310,–,40,412,6,8,2,1,†
APTOS HIGH,California,Pajaro Valley Unified,629490,6,57,593,17,773,4,8,†
APTOS JUNIOR HIGH,California,Pajaro Valley Unified,629490,1,28,282,7,366,2,7,†
APTOS MIDDLE,California,San Francisco Unified,634410,2,440,226,85,136,16,82,†
ARAGON AVENUE ELEMENTARY,California,Los Angeles Unified,622710,1,4,314,2,13,1,4,†
ARAGON HIGH,California,San Mateo Union High,634980,7,461,439,20,416,51,161,†
ARARAT CHARTER,California,Los Angeles Unified,622710,–,–,37,2,298,–,–,†
ARBOGA ELEMENTARY,California,Marysville Joint Unified,624090,10,42,147,15,241,–,24,†
ARBOLITA ELEMENTARY,California,La Habra City Elementary,620190,–,4,347,2,19,–,3,†
ARBUCKLE ALTERNATIVE HIGH (CONTINUATION),California,Pierce Joint Unified,630360,0,0,9,0,3,0,0,†
ARBUCKLE ELEMENTARY,California,Pierce Joint Unified,630360,–,5,483,7,117,1,13,†
ARCADE FUNDAMENTAL MIDDLE,California,San Juan Unified,634620,3,27,134,38,234,2,13,†
ARCADIA HIGH,California,Arcadia Unified,602970,6,2303,484,71,470,4,47,†
ARCATA ELEMENTARY,California,Arcata Elementary,603000,15,8,60,7,177,1,38,†
ARCATA HIGH,California,Northern Humboldt Union High,603030,18,20,99,10,612,3,95,†
ARCHITECTURE CONSTRUCTION & ENGINEERING CHARTER HIGH (ACE),California,Oxnard Union High,629270,–,8,88,11,79,1,11,†
ARCOHE ELEMENTARY,California,Arcohe Union Elementary,603060,5,7,204,12,198,2,23,†
ARDEN MIDDLE,California,San Juan Unified,634620,7,49,209,63,587,10,16,†
ARDENWOOD ELEMENTARY,California,Fremont Unified,614400,–,789,43,12,68,1,34,†
ARDIS G. EGAN JUNIOR HIGH,California,Los Altos Elementary,622650,2,226,64,3,304,1,58,†
ARELLANES (DON JUAN BAUTISTA) ELEMENTARY,California,Santa Maria-Bonita,605580,2,2,278,–,12,–,–,†
ARELLANES JUNIOR HIGH,California,Santa Maria-Bonita,605580,–,18,520,4,12,1,2,†
ARENA ELEMENTARY,California,Arena Union Elementary,603090,24,–,137,–,81,–,12,†
ARENA HIGH (CONTINUATION),California,El Segundo Unified,612210,1,1,9,2,20,–,5,†
ARGONAUT ELEMENTARY,California,Saratoga Union Elementary,635910,–,289,10,–,47,–,33,†
ARGONAUT HIGH,California,Amador County Unified,602450,9,9,116,3,326,4,37,†
ARGONNE ELEMENTARY,California,San Francisco Unified,634410,–,151,50,6,152,–,74,†
ARGUS HIGH (CONTINUATION),California,Ceres Unified,608130,6,3,124,4,22,0,1,†
ARISE HIGH,California,Oakland Unified,628050,–,11,246,6,1,–,10,†
ARIZONA MIDDLE,California,Alvord Unified,602430,1,36,834,45,109,6,5,†
ARK INDEPENDENT STUDIES,California,Santa Cruz City High,635600,1,1,25,1,30,–,2,†
ARLANZA ELEMENTARY,California,Alvord Unified,602430,–,1,527,7,10,1,4,†
ARLENE HEIN ELEMENTARY,California,Elk Grove Unified,612330,4,573,177,89,220,19,128,†
ARLETA HIGH,California,Los Angeles Unified,622710,1,25,1356,12,36,2,2,†
ARLIE F. HUTCHINSON MIDDLE,California,Norwalk-La Mirada Unified,627690,–,57,468,19,136,4,15,†
ARLINGTON ELEMENTARY,California,Torrance Unified,639420,–,256,197,5,55,1,71,†
ARLINGTON HEIGHTS ELEMENTARY,California,Los Angeles Unified,622710,–,5,424,49,5,–,1,†
ARLINGTON HEIGHTS ELEMENTARY,California,San Juan Unified,634620,2,8,70,14,208,3,20,†
ARLINGTON HIGH,California,Riverside Unified,633150,5,79,1363,115,347,10,36,†
ARMA J. SHULL ELEMENTARY,California,Bonita Unified,605610,3,77,285,15,189,–,52,†
ARMADA ELEMENTARY,California,Moreno Valley Unified,625800,–,5,616,115,15,5,17,†
ARMIJO HIGH,California,Fairfield-Suisun Unified,613360,19,377,1005,349,351,20,157,†
ARMINTA STREET ELEMENTARY,California,Los Angeles Unified,622710,–,7,421,2,33,–,1,†
ARMONA ELEMENTARY,California,Armona Union Elementary,603180,4,2,471,10,37,–,6,†
ARMSTRONG ELEMENTARY,California,Pomona Unified,631320,–,60,230,29,42,1,21,†
ARNOLD ADREANI ELEMENTARY,California,Elk Grove Unified,612330,5,312,142,43,217,8,92,†
ARNOLD O. BECKMAN HIGH,California,Tustin Unified,640150,7,1159,663,61,878,8,103,†
AROMAS,California,Aromas/San Juan Unified,691136,–,7,277,–,115,–,13,†
AROVISTA ELEMENTARY,California,Brea-Olinda Unified,605880,–,27,218,9,200,3,1,†
ARROW HIGH (CONTINUATION),California,Charter Oak Unified,608190,2,2,52,2,14,0,1,†
ARROWHEAD ELEMENTARY,California,San Bernardino City Unified,634170,4,1,198,65,18,–,29,†
ARROWVIEW MIDDLE,California,San Bernardino City Unified,634170,3,11,916,102,34,5,40,†
ARROYO,CALIFORNIA,San Carlos Elementary,634290,–,30,46,2,220,–,36,†
ARROYO ELEMENTARY,California,Ontario-Montclair,628470,2,7,352,1,9,–,21,†
ARROYO ELEMENTARY,California,Tustin Unified,640150,–,84,101,–,403,–,59,†
ARROYO ELEMENTARY,California,Pomona Unified,631320,3,3,547,10,6,–,2,†
ARROYO ELEMENTARY,California,Simi Valley Unified,636840,–,3,167,1,55,–,11,†
ARROYO GRANDE HIGH,California,Lucia Mar Unified,623080,10,79,696,11,1248,5,69,†
ARROYO HIGH,California,San Lorenzo Unified,634710,8,581,783,133,210,25,40,†
