School Name,State Name [Public School] Latest available year,Agency Name [Public School] 2016-17,Agency ID - NCES Assigned [Public School] Latest available year,American Indian/Alaska Native Students [Public School] 2016-17,Asian or Asian/Pacific Islander Students [Public School] 2016-17,Hispanic Students [Public School] 2016-17,Black Students [Public School] 2016-17,White Students [Public School] 2016-17,Hawaiian Nat./Pacific Isl. Students [Public School] 2016-17,Two or More Races Students [Public School] 2016-17,Total Race/Ethnicity [Public School] 2016-17
ALLIANCE ALICE M. BAXTER COLLEGE-READY HIGH,California,Los Angeles Unified,622710,3,15,223,22,14,2,0,†
ALLIANCE CINDY AND BILL SIMON TECHNOLOGY ACADEMY HIGH,California,Los Angeles Unified,622710,1,1,463,38,–,–,–,†
ALLIANCE COLLEGE-READY MIDDLE ACADEMY 12,California,Los Angeles Unified,622710,–,2,406,8,1,–,–,†
ALLIANCE COLLEGE-READY MIDDLE ACADEMY 4,California,Los Angeles Unified,622710,–,1,438,11,1,1,–,†
ALLIANCE COLLEGE-READY MIDDLE ACADEMY 5,California,Los Angeles Unified,622710,3,9,284,3,4,–,–,†
ALLIANCE COLLEGE-READY MIDDLE ACADEMY 8,California,Los Angeles Unified,622710,–,–,443,–,1,–,1,†
ALLIANCE COLLINS FAMILY COLLEGE-READY HIGH,California,Los Angeles Unified,622710,–,2,598,1,–,–,–,†
ALLIANCE DR. OLGA MOHAN HIGH,California,Los Angeles Unified,622710,–,3,432,2,2,–,–,†
ALLIANCE GERTZ-RESSLER RICHARD MERKIN 6-12 COMPLEX,California,Los Angeles Unified,622710,1,1,972,11,1,–,–,†
ALLIANCE JACK H. SKIRBALL MIDDLE,California,Los Angeles Unified,622710,–,1,395,48,–,–,–,†
ALLIANCE JUDY IVIE BURTON TECHNOLOGY ACADEMY HIGH,California,Los Angeles Unified,622710,–,1,588,18,1,–,1,†
ALLIANCE KORY HUNTER MIDDLE,California,Los Angeles Unified,622710,–,1,460,1,1,–,–,†
ALLIANCE LEADERSHIP MIDDLE ACADEMY,California,Los Angeles Unified,622710,–,1,272,93,–,–,2,†
ALLIANCE LEICHTMAN-LEVINE FAMILY FOUNDATION ENV SCI HIGH,California,Los Angeles Unified,622710,3,34,466,3,17,–,–,†
ALLIANCE MARC & EVA STERN MATH AND SCIENCE,California,Los Angeles Unified,622710,4,12,551,8,9,–,–,†
ALLIANCE MARGARET M. BLOOMFIELD TECHNOLOGY ACADEMY HIGH,California,Los Angeles Unified,622710,0,0,382,2,0,0,0,†
ALLIANCE MARINE - INNOVATION AND TECHNOLOGY 6-12 COMPLEX,CALIFORNIA,Los Angeles Unified,622710,4,16,237,11,38,1,4,†
ALLIANCE MORGAN MCKINZIE HIGH,California,Los Angeles Unified,622710,1,–,325,1,–,–,–,†
ALLIANCE OUCHI-O'DONOVAN 6-12 COMPLEX,California,Los Angeles Unified,622710,1,1,943,64,1,–,–,†
ALLIANCE PATTI AND PETER NEUWIRTH LEADERSHIP ACADEMY,California,Los Angeles Unified,622710,1,–,573,24,2,–,–,†
ALLIANCE PIERA BARBAGLIA SHAHEEN HEALTH SERVICES ACADEMY,California,Los Angeles Unified,622710,–,1,392,59,5,2,3,†
ALLIANCE RENEE AND MEYER LUSKIN ACADEMY HIGH,California,Los Angeles Unified,622710,–,2,459,89,1,–,–,†
ALLIANCE SUSAN AND ERIC SMIDT TECHNOLOGY HIGH,California,Los Angeles Unified,622710,4,9,474,16,1,–,1,†
ALLIANCE TED K. TAJIMA HIGH,California,Los Angeles Unified,622710,–,6,277,2,1,–,–,†
ALLIANCE TENNENBAUM FAMILY TECHNOLOGY HIGH,California,Los Angeles Unified,622710,4,17,323,5,3,1,–,†
ALLISON ELEMENTARY,California,Pomona Unified,631320,1,3,276,4,15,–,2,†
ALMA PRESCHOOL,California,Castro Valley Unified,607800,†,†,†,†,†,†,†,†
ALMADEN ELEMENTARY,California,San Jose Unified,634590,–,12,282,5,26,4,14,†
ALMANOR HIGH (CONTINUATION),California,Plumas Unified,631170,1,0,0,0,2,0,0,†
ALMERIA MIDDLE,California,Fontana Unified,613920,–,26,663,72,50,1,6,†
ALMOND ACRES CHARTER ACADEMY,California,San Miguel Joint Union,635010,–,1,62,–,203,–,14,†
ALMOND ELEMENTARY,California,Los Altos Elementary,622650,1,179,81,2,213,2,63,†
ALMOND ELEMENTARY,California,Fontana Unified,613920,1,7,495,14,18,–,5,†
ALMOND GROVE ELEMENTARY,CALIFORNIA,Oakley Union Elementary,628080,2,67,136,41,196,1,6,†
ALMOND TREE MIDDLE,California,Delano Union Elementary,610890,1,56,573,2,4,3,3,†
ALMONDALE ELEMENTARY,California,Rosedale Union Elementary,633480,2,37,237,12,357,1,26,†
ALOHA ELEMENTARY,California,ABC Unified,601620,1,21,209,82,29,14,16,†
ALONDRA MIDDLE,California,Paramount Unified,629850,–,17,854,56,10,20,9,†
ALPAUGH -SENIOR HIGH,California,Alpaugh Unified,602010,–,–,120,–,6,–,–,†
ALPAUGH ELEMENTARY,California,Alpaugh Unified,602010,1,4,191,–,16,–,1,†
ALPHA CHARTER,California,Elverta Joint Elementary,612600,1,2,16,12,7,1,11,†
ALPHA CINDY AVITIA HIGH,CALIFORNIA,East Side Union High,611820,1,23,263,0,2,0,4,†
ALPHA ELEMENTARY,California,Madera Unified,623340,1,6,696,17,44,–,3,†
ALPHA TECHNOLOGY MIDDLE,California,Elverta Joint Elementary,612600,3,3,28,8,34,–,8,†
ALPHA: BLANCA ALVARADO MIDDLE,California,Alum Rock Union Elementary,602310,–,25,343,2,3,1,34,†
